# Schottky from phonopy; factor=1.968750000000
# X_S = X_2G + X_cVac - factor * X_nodef
# T[K]  dF_vib[eV]  dU_vib[eV]  E_DFT[eV]  F_Schottky[eV]  U_Schottky[eV]  dS[eV/K]  dS[J/K/mol]  dCv[eV/K]  dCv[J/K/mol]
    520.0000     -0.24429475     -0.00300835      5.04300774      4.79871299      5.03999939  4.64012307e-04     44.77038361  2.85385531e-05      2.75355189
    530.0000     -0.24893754     -0.00273227      5.04300774      4.79407020      5.04027547  4.64538240e-04     44.82112835  2.66989659e-05      2.57605871
    540.0000     -0.25358537     -0.00247394      5.04300774      4.78942237      5.04053379  4.65021160e-04     44.86772313  2.49872435e-05      2.41090260
    550.0000     -0.25823783     -0.00223213      5.04300774      4.78476991      5.04077560  4.65464906e-04     44.91053808  2.33938086e-05      2.25715949
    560.0000     -0.26289455     -0.00200570      5.04300774      4.78011319      5.04100203  4.65872942e-04     44.94990756  2.19098226e-05      2.11397661
    570.0000     -0.26755518     -0.00179360      5.04300774      4.77545256      5.04121414  4.66248390e-04     44.98613280  2.05271396e-05      1.98056797
    580.0000     -0.27221942     -0.00159485      5.04300774      4.77078832      5.04141289  4.66594088e-04     45.01948756  1.92382532e-05      1.85620933
    590.0000     -0.27688697     -0.00140854      5.04300774      4.76612076      5.04159919  4.66912590e-04     45.05021834  1.80362357e-05      1.74023227
    600.0000     -0.28155759     -0.00123385      5.04300774      4.76145015      5.04177388  4.67206220e-04     45.07854935  1.69147073e-05      1.63202123
    610.0000     -0.28623102     -0.00107000      5.04300774      4.75677672      5.04193774  4.67477081e-04     45.10468344  1.58677830e-05      1.53100838
    620.0000     -0.29090706     -0.00091627      5.04300774      4.75210068      5.04209147  4.67727083e-04     45.12880496  1.48900352e-05      1.43667005
    630.0000     -0.29558550     -0.00077199      5.04300774      4.74742224      5.04223575  4.67957957e-04     45.15108096  1.39764624e-05      1.34852368
    640.0000     -0.30026616     -0.00063654      5.04300774      4.74274158      5.04237120  4.68171280e-04     45.17166350  1.31224489e-05      1.26612389
    650.0000     -0.30494887     -0.00050935      5.04300774      4.73805886      5.04249838  4.68368487e-04     45.19069108  1.23237360e-05      1.18905982
    660.0000     -0.30963348     -0.00038989      5.04300774      4.73337426      5.04261784  4.68550887e-04     45.20828994  1.15763954e-05      1.11695241
    670.0000     -0.31431984     -0.00027767      5.04300774      4.72868789      5.04273007  4.68719668e-04     45.22457485  1.08767937e-05      1.04945110
    680.0000     -0.31900783     -0.00017221      5.04300774      4.72399990      5.04283553  4.68875913e-04     45.23965019  1.02215836e-05      0.98623293
    690.0000     -0.32369732     -0.00007310      5.04300774      4.71931041      5.04293464  4.69020616e-04     45.25361195  9.60766627e-06      0.92699891
    700.0000     -0.32838821      0.00002007      5.04300774      4.71461953      5.04302781  4.69154685e-04     45.26654762  9.03218323e-06      0.87147324
    710.0000     -0.33308038      0.00010767      5.04300774      4.70992735      5.04311540  4.69278943e-04     45.27853673  8.49248528e-06      0.81940030
    720.0000     -0.33777376      0.00019003      5.04300774      4.70523398      5.04319777  4.69394152e-04     45.28965266  7.98612712e-06      0.77054416
    730.0000     -0.34246824      0.00026749      5.04300774      4.70053950      5.04327523  4.69501001e-04     45.29996209  7.51084085e-06      0.72468601
    740.0000     -0.34716375      0.00034035      5.04300774      4.69584399      5.04334808  4.69600131e-04     45.30952662  7.06453138e-06      0.68162369
    750.0000     -0.35186022      0.00040887      5.04300774      4.69114752      5.04341661  4.69692120e-04     45.31840224  6.64525799e-06      0.64116995
    760.0000     -0.35655757      0.00047334      5.04300774      4.68645016      5.04348107  4.69777509e-04     45.32664102  6.25121525e-06      0.60315061
    770.0000     -0.36125575      0.00053398      5.04300774      4.68175199      5.04354171  4.69856784e-04     45.33428986  5.88073916e-06      0.56740510
    780.0000     -0.36595469      0.00059102      5.04300774      4.67705305      5.04359876  4.69930399e-04     45.34139271  5.53228113e-06      0.53378401
    790.0000     -0.37065434      0.00064469      5.04300774      4.67235340      5.04365243  4.69998771e-04     45.34798953  5.20439983e-06      0.50214827
    800.0000     -0.37535465      0.00069517      5.04300774      4.66765309      5.04370291  4.70062278e-04     45.35411707  4.89576812e-06      0.47236983
    810.0000     -0.38005557      0.00074267      5.04300774      4.66295217      5.04375040  4.70121277e-04     45.35980957  4.60514281e-06      0.44432875
    820.0000     -0.38475706      0.00078733      5.04300774      4.65825068      5.04379507  4.70176089e-04     45.36509816  4.33137290e-06      0.41791397
    830.0000     -0.38945908      0.00082935      5.04300774      4.65354866      5.04383708  4.70227017e-04     45.37001193  4.07338917e-06      0.39302233
    840.0000     -0.39416159      0.00086885      5.04300774      4.64884615      5.04387659  4.70274333e-04     45.37457720  3.83019652e-06      0.36955780
    850.0000     -0.39886455      0.00090599      5.04300774      4.64414318      5.04391373  4.70318292e-04     45.37881863  3.60086715e-06      0.34743088
    860.0000     -0.40356794      0.00094091      5.04300774      4.63943979      5.04394865  4.70359134e-04     45.38275926  3.38453644e-06      0.32655814
    870.0000     -0.40827173      0.00097373      5.04300774      4.63473601      5.04398146  4.70397073e-04     45.38641988  3.18040400e-06      0.30686235
    880.0000     -0.41297588      0.00100456      5.04300774      4.63003186      5.04401230  4.70432310e-04     45.38981975  2.98771669e-06      0.28827085
